seqence,date,confirm,suspect,dead,heal,nowConfirm,nowSevere,deadRate,healRate
1,2020.01.13,41,0,1,0,0,,2.4,0
2,2020.01.14,41,0,1,0,0,,2.4,0
3,2020.01.15,41,0,2,5,0,,4.9,12.2
4,2020.01.16,45,0,2,8,0,,4.4,17.8
5,2020.01.17,62,0,2,12,0,,3.2,19.4
6,2020.01.18,198,0,3,17,0,,1.5,8.6
7,2020.01.19,275,0,4,18,0,,1.5,6.5
8,2020.01.20,291,54,6,25,291,,2.1,8.6
9,2020.01.21,440,37,9,25,431,,2,5.7
10,2020.01.22,574,393,17,25,557,,3,4.4
11,2020.01.23,835,1072,25,34,776,,3,4.1
12,2020.01.24,1297,1965,41,38,1218,,3.2,2.9
13,2020.01.25,1985,2684,56,49,1880,,2.8,2.5
14,2020.01.26,2761,5794,80,51,2630,,2.9,1.8
15,2020.01.27,4535,6973,106,60,4369,,2.3,1.3
16,2020.01.28,5997,9239,132,103,5762,,2.2,1.7
17,2020.01.29,7736,12167,170,124,7442,,2.2,1.6
18,2020.01.30,9720,15238,213,171,9336,,2.2,1.8
19,2020.01.31,11821,17988,259,243,11319,,2.2,2.1
20,2020.02.01,14411,19544,304,328,13779,,2.1,2.3
21,2020.02.02,17238,21558,361,475,16402,,2.1,2.8
22,2020.02.03,20471,23214,425,632,19414,,2.1,3.1
23,2020.02.04,24363,23260,491,892,22980,,2,3.7
24,2020.02.05,28060,24702,564,1153,26343,,2,4.1
25,2020.02.06,31211,26359,637,1542,29032,,2,4.9
26,2020.02.07,34598,27657,723,2052,31823,,2.1,5.9
27,2020.02.08,37251,28942,812,2651,33788,,2.2,7.1
28,2020.02.09,40235,23589,909,3283,36043,,2.3,8.2
29,2020.02.10,42708,21675,1017,3998,37693,,2.4,9.4
30,2020.02.11,44730,16067,1114,4742,38874,,2.5,10.6
31,2020.02.12,59882,13435,1368,5915,52599,,2.3,9.9
32,2020.02.13,63932,10109,1381,6728,55823,,2.2,10.5
33,2020.02.14,66576,8969,1524,8101,56951,,2.3,12.2
34,2020.02.15,68584,8228,1666,9425,57493,,2.4,13.7
35,2020.02.16,70635,7264,1772,10853,58010,,2.5,15.4
36,2020.02.17,72528,6242,1870,12561,58097,,2.6,17.3
37,2020.02.18,74279,5248,2006,14387,57886,,2.7,19.4
38,2020.02.19,74675,4922,2121,16168,56386,,2.8,21.7
